
---------------------------------------------------------------
                   STATISTICS OF TRIALS                   	 
------------------------------------------------------------------

142	18.5		35.75			40			1			163		15988
143	18.5		36			40			1			172		15726
144	18.5		41.8333			220			9			1392		15547
145	18.5		35			120			5			755		15588
146	18.5		39.3333			20			0			0		15575
147	18.5		34.5			20			0			0		15666
148	18.5		47.6667			20			0			0		15660
149	18.5		47.6667			120			5			785		15718
150	18.5		34			80			3			474		15575
151	18.5		36			100			4			615		15593
152	18.5		37.6667			80			3			471		15704
153	18.5		37.6667			60			2			323		15541
154	18.5		43.5			80			3			473		15526
155	18.5		31.3333			100			4			620		15716
156	18.5		47.6667			80			3			469		15550
157	18.5		47.6667			80			3			470		15613
158	18.5		35.6667			60			2			321		15776
159	18.5		47.6667			60			2			327		15704
160	18.5		39.3333			100			4			613		15497
161	18.5		41.8333			180			7			1103		15692
162	18.5		41.8333			140			6			921		15711
163	18.5		39.3333			40			1			166		15676
164	18.5		34			220			9			1381		15654
165	18.5		32			240			10			1506		15515
166	18.5		41.8333			80			3			476		15756
167	18.5		35.75			60			2			322		15798
168	18.5		35.6667			20			0			0		15658
169	18.5		43.5			40			1			167		15663
170	18.5		37.6667			40			1			164		15598
171	18.5		35.75			100			4			650		15611
172	18.5		47.6667			180			7			1094		15884
173	18.5		35			20			0			0		15578
174	18.5		32			100			4			617		15642
175	18.5		47.6667			80			3			471		15573
176	18.5		37.6667			100			4			609		15584
177	18.5		43.5			60			2			324		15591
178	18.5		32			40			1			167		15667
179	18.5		31.8333			60			2			323		15572
180	18.5		47.6667			20			0			0		15669
181	18.5		39.3333			40			1			171		15575
182	18.5		36			40			1			167		15510
183	18.5		47.6667			140			6			906		15558
184	18.5		41.8333			40			1			164		15600
185	18.5		41.8333			80			3			469		15540
186	18.5		36			80			3			470		15661
187	18.5		35			60			2			333		15519
188	18.5		34.5			280			11			1705		15699
189	18.5		41.8333			160			6			946		18967
190	18.5		41.8333			80			3			622		17024
191	18.5		36			100			4			615		15584
192	18.5		32			80			3			478		15677
193	18.5		47.6667			60			2			324		15736
194	18.5		31.3333			20			0			0		15506
195	18.5		39.3333			80			3			465		15577
196	18.5		37.6667			80			3			472		15743
197	18.5		35.6667			100			4			627		15515
198	18.5		35.6667			80			3			467		15716
199	18.5		43.5			120			5			777		15792
200	18.5		34			140			6			926		15644
------------------------------------------------------------------
